Algorithm,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Naive Bayes,0.9713004484304932,1.0,0.785234899328859,0.8796992481203008,0.9817346839523672
Logistic Regression,0.9659192825112107,1.0,0.7449664429530202,0.8538461538461538,0.9826934567232203
Random Forest,0.97847533632287,1.0,0.8389261744966443,0.9124087591240876,0.9800776744896965
